date,value
2006-01-03,23.5
2006-01-04,24.33
2006-01-05,23.55
2006-01-06,22.86
2006-01-09,21.97
2006-01-10,20.85
2006-01-11,20.77
2006-01-12,20.57
2006-01-13,21.24
2006-01-17,22.58
2006-01-18,22.9
2006-01-19,21.44
2006-01-20,28.14
2006-01-23,26.8
2006-01-24,25.31
2006-01-25,25.29
2006-01-26,24.81
2006-01-27,24.4
2006-01-30,25.33
2006-01-31,24.89
2006-02-01,26.03
2006-02-02,29.22
2006-02-03,27.74
2006-02-06,24.83
2006-02-07,27.71
2006-02-08,25.44
2006-02-09,27.03
2006-02-10,26.86
2006-02-13,27.75
2006-02-14,25.54
2006-02-15,24.19
2006-02-16,22.1
2006-02-17,24.71
2006-02-21,26.17
2006-02-22,25.88
2006-02-23,26.03
2006-02-24,25.42
2006-02-27,25.56
2006-02-28,29.82
2006-03-01,24.64
2006-03-02,25.74
2006-03-03,27.76
2006-03-06,30.57
2006-03-07,31.03
2006-03-08,29.94
2006-03-09,31.72
2006-03-10,28.75
2006-03-13,26.65
2006-03-14,25.54
2006-03-15,25.7
2006-03-16,25.21
2006-03-17,26.44
2006-03-20,30.91
2006-03-21,30.55
2006-03-22,27.71
2006-03-23,27.44
2006-03-24,28.12
2006-03-27,28.76
2006-03-28,27.04
2006-03-29,24.87
2006-03-30,28.55
2006-03-31,29.08
2006-04-03,25.84
2006-04-04,24.23
2006-04-05,24.23
2006-04-06,24.04
2006-04-07,26.8
2006-04-10,25.57
2006-04-11,29.49
2006-04-12,28.1
2006-04-13,26.99
2006-04-17,25.78
2006-04-18,22.09
2006-04-19,21.14
2006-04-20,21.5
2006-04-21,22.4
2006-04-24,23.2
2006-04-25,23.67
2006-04-26,25.47
2006-04-27,24.27
2006-04-28,24.47
2006-05-01,27.51
2006-05-02,24.8
2006-05-03,26.36
2006-05-04,25.89
2006-05-05,24.97
2006-05-08,27.11
2006-05-09,26.97
2006-05-10,27
2006-05-11,27.66
2006-05-12,33.81
2006-05-15,32.07
2006-05-16,31.55
2006-05-17,42.03
2006-05-18,43.48
2006-05-19,37.38
2006-05-22,39.47
2006-05-23,47.18
2006-05-24,38.08
2006-05-25,34.46
2006-05-26,31.99
2006-05-30,47.96
2006-05-31,37.2
2006-06-01,31.5
2006-06-02,32.33
2006-06-05,42.06
2006-06-06,42.89
2006-06-07,43.82
2006-06-08,45.84
2006-06-09,45.3
2006-06-12,52.22
2006-06-13,58.53
2006-06-14,44.61
2006-06-15,29.17
2006-06-16,35.5
2006-06-19,45.09
2006-06-20,41.33
2006-06-21,37.42
2006-06-22,38.54
2006-06-23,40.72
2006-06-26,37.22
2006-06-27,40.98
2006-06-28,37.82
2006-06-29,27.73
2006-06-30,28.44
2006-07-03,27.02
2006-07-05,29.67
2006-07-06,29.48
2006-07-07,30.45
2006-07-10,29.32
2006-07-11,25.62
2006-07-12,30.4
2006-07-13,41.44
2006-07-14,38.8
2006-07-17,40.66
2006-07-18,38.6
2006-07-19,32.78
2006-07-20,35.02
2006-07-21,44.71
2006-07-24,33.53
2006-07-25,35.12
2006-07-26,33.83
2006-07-27,35.89
2006-07-28,33.7
2006-07-31,35.03
2006-08-01,34.71
2006-08-02,33.05
2006-08-03,33.99
2006-08-04,33.37
2006-08-07,35.59
2006-08-08,36.3
2006-08-09,37.55
2006-08-10,33.46
2006-08-11,34.15
2006-08-14,33.77
2006-08-15,31.34
2006-08-16,27.29
2006-08-17,24.4
2006-08-18,24.27
2006-08-21,26.41
2006-08-22,27.92
2006-08-23,29.42
2006-08-24,29.58
2006-08-25,28.44
2006-08-28,26.75
2006-08-29,26.57
2006-08-30,26.73
2006-08-31,27.51
2006-09-01,27.11
2006-09-05,26.95
2006-09-06,30.92
2006-09-07,29.56
2006-09-08,26.85
2006-09-11,26.08
2006-09-12,24.27
2006-09-13,21.96
2006-09-14,23.35
2006-09-15,21.72
2006-09-18,24.84
2006-09-19,25.4
2006-09-20,23.78
2006-09-21,26.28
2006-09-22,28.55
2006-09-25,23.08
2006-09-26,22.34
2006-09-27,22.28
2006-09-28,23.81
2006-09-29,24.46
2006-10-02,24.26
2006-10-03,23.51
2006-10-04,21.88
2006-10-05,23.14
2006-10-06,20.76
2006-10-09,20.12
2006-10-10,19.39
2006-10-11,19.82
2006-10-12,18.07
2006-10-13,17.1
2006-10-16,17.64
2006-10-17,19.81
2006-10-18,19.84
2006-10-19,18.96
2006-10-20,19.25
2006-10-23,21.71
2006-10-24,22.19
2006-10-25,23.72
2006-10-26,23.25
2006-10-27,24.58
2006-10-30,25.66
2006-10-31,25.24
2006-11-01,27.41
2006-11-02,27.66
2006-11-03,27.27
2006-11-06,24.87
2006-11-07,25.18
2006-11-08,23.59
