date,spot,call_gex_mm,put_gex_mm,net_gex_mm,net_vex_mm,gexplus_mm,total_oi
2026-06-12,17.68,100.1,105.4,5.2,-24.5,-19.3,13435121
2026-06-15,16.20,64.4,94.1,29.7,-15.1,14.7,13641297
2026-06-16,16.41,68.8,103.8,35.0,-16.9,18.1,13910315
2026-06-17,18.44,65.5,46.0,-19.5,-27.2,-46.7,14453032
2026-06-18,16.40,54.9,39.4,-15.4,-17.7,-33.2,9813759
2026-06-19,16.78,59.9,42.0,-17.9,-20.7,-38.5,10095595
2026-06-22,17.28,63.9,45.2,-18.7,-22.3,-41.0,10095595
2026-06-23,20.19,91.2,56.3,-34.9,-34.3,-69.3,10396280
2026-06-24,18.63,76.1,54.3,-21.8,-30.0,-51.9,10593406
2026-06-25,18.89,80.3,60.0,-20.2,-22.4,-42.6,10628771
2026-06-26,18.41,78.4,58.3,-20.1,-29.6,-49.6,10740339
2026-06-29,17.65,71.3,62.0,-9.4,-24.8,-34.2,10843078
2026-06-30,16.45,62.3,59.3,-3.0,-17.2,-20.3,11136991
2026-07-01,16.59,65.6,56.3,-9.3,-18.4,-27.7,11381175
2026-07-02,16.15,64.3,56.6,-7.8,-16.1,-23.9,11397425
2026-07-03,15.81,62.0,58.7,-3.3,-13.2,-16.4,11529128
2026-07-06,15.57,59.5,60.8,1.3,-10.8,-9.5,11529128
2026-07-07,16.13,65.8,65.9,0.1,-14.6,-14.5,11716948
2026-07-08,16.90,77.8,65.6,-12.2,-21.1,-33.2,12045002
2026-07-09,15.84,67.7,65.8,-2.0,-13.1,-15.1,12252157
2026-07-10,15.03,59.8,64.7,4.8,-7.6,-2.8,12568786
2026-07-13,17.16,85.8,76.5,-9.3,-24.0,-33.3,12830769
2026-07-14,16.50,80.3,83.6,3.3,-18.1,-14.8,13206893
2026-07-15,15.67,70.9,85.9,15.0,-11.3,3.7,13459968
2026-07-16,16.73,90.5,89.4,-1.1,-19.7,-20.8,13588174
2026-07-17,18.77,124.9,91.8,-33.1,-29.1,-62.3,13998561
2026-07-20,18.65,138.1,109.9,-28.2,-29.1,-57.3,14363059
2026-07-21,17.05,99.8,130.2,30.4,-22.8,7.6,14502181
2026-07-22,16.64,62.9,44.1,-18.8,-13.6,-32.4,14852971
2026-07-23,18.70,83.1,52.8,-30.3,-24.4,-54.7,10691629
2026-07-24,18.58,84.6,56.0,-28.7,-30.5,-59.1,10960110
