# spot,7503.8501,ts,2026-07-07 22:55:47
strike,dte,cp,oi,gamma,delta,iv,bid,ask
200.00,10,C,14756,0.000000,0.9998,7.5150,7290.70,7309.90
200.00,10,P,13331,0.000000,0.0000,6.0288,0.00,0.05
400.00,10,C,38,0.000000,0.9998,5.9935,7091.20,7110.50
400.00,10,P,7118,0.000000,0.0000,4.8269,0.00,0.05
600.00,10,C,4,0.000000,0.9998,5.0568,6890.80,6911.40
600.00,10,P,5209,0.000000,0.0000,4.1421,0.00,0.05
800.00,10,C,3,0.000000,0.9998,4.4789,6691.50,6710.10
800.00,10,P,3702,0.000000,0.0000,3.6634,0.00,0.05
1000.00,10,C,270,0.000000,0.9998,3.9623,6490.90,6511.40
1000.00,10,P,2861,0.000000,0.0000,3.2956,0.00,0.05
1200.00,10,C,13302,0.000000,0.9998,3.6138,6292.30,6311.20
1200.00,10,P,14480,0.000000,0.0000,2.9973,0.00,0.05
1400.00,10,C,3,0.000000,0.9998,3.3211,6091.90,6112.80
1400.00,10,P,748,0.000000,0.0000,2.7464,0.00,0.05
1600.00,10,C,1,0.000000,0.9998,3.0047,5892.90,5911.20
1600.00,10,P,3072,0.000000,0.0000,2.5299,0.00,0.05
1800.00,10,P,2095,0.000000,0.0000,2.4387,0.00,0.10
2000.00,10,C,82,0.000000,0.9998,2.5315,5493.30,5510.80
2000.00,10,P,10527,0.000000,0.0000,2.2618,0.00,0.05
2200.00,10,C,1431,0.000000,0.9998,2.3636,5293.40,5310.50
2200.00,10,P,4360,0.000000,-0.0001,2.1022,0.00,0.05
2400.00,10,C,1,0.000000,0.9998,2.2099,5093.90,5110.80
2400.00,10,P,1452,0.000000,-0.0001,1.9566,0.00,0.10
2500.00,10,C,1,0.000000,0.9998,2.1074,4993.70,5013.40
2500.00,10,P,16485,0.000000,-0.0001,1.8884,0.00,0.10
2600.00,10,P,756,0.000000,-0.0001,1.8229,0.00,0.10
2700.00,10,P,1111,0.000000,-0.0001,1.7599,0.00,0.10
2800.00,10,P,1396,0.000000,-0.0001,1.6992,0.00,0.10
2900.00,10,P,2185,0.000000,-0.0001,1.6406,0.00,0.10
3000.00,10,C,226,0.000000,0.9997,1.7627,4494.80,4513.70
3000.00,10,P,7466,0.000000,-0.0001,1.5840,0.00,0.05
3100.00,10,P,1984,0.000000,-0.0001,1.5293,0.00,0.10
3200.00,10,C,35,0.000000,0.9997,1.5894,4293.90,4314.00
3200.00,10,P,2718,0.000000,-0.0001,1.4763,0.00,0.10
3300.00,10,P,8053,0.000000,-0.0001,1.4250,0.00,0.05
3400.00,10,C,13,0.000000,0.9997,1.4914,4095.00,4112.10
3400.00,10,P,4779,0.000000,-0.0001,1.3751,0.00,0.10
3500.00,10,P,7153,0.000000,-0.0001,1.3267,0.00,0.05
3600.00,10,P,5245,0.000000,-0.0001,1.2797,0.00,0.10
3650.00,10,P,2063,0.000000,-0.0001,1.2566,0.00,0.10
3700.00,10,C,1,0.000000,0.9997,1.3212,3794.60,3814.70
3700.00,10,P,2311,0.000000,-0.0001,1.2339,0.00,0.10
3750.00,10,P,1816,0.000000,-0.0001,1.2115,0.00,0.10
3800.00,10,P,3837,0.000000,-0.0001,1.1893,0.00,0.10
3850.00,10,P,1609,0.000000,-0.0001,1.1675,0.00,0.10
