# spot,16.4500,ts,2026-06-30 23:06:47
strike,dte,cp,oi,gamma,delta,iv,bid,ask
10.00,22,C,4006,0.003200,0.9926,0.0000,7.75,8.05
10.00,22,P,85,0.003200,-0.0048,1.0294,0.00,0.02
10.50,22,C,5,0.003800,0.9920,0.0000,7.30,7.60
10.50,22,P,26,0.003800,-0.0054,0.9516,0.00,0.02
11.00,22,C,72,0.004600,0.9913,0.0000,6.80,7.10
11.00,22,P,11,0.004600,-0.0061,0.8773,0.00,0.02
11.50,22,C,3,0.005600,0.9904,0.0000,6.30,6.60
11.50,22,P,9,0.005600,-0.0070,0.8059,0.00,0.02
12.00,22,C,2173,0.007000,0.9892,0.0000,5.80,6.10
12.00,22,P,2245,0.007000,-0.0082,0.6777,0.00,0.01
12.50,22,C,18,0.008900,0.9874,0.0000,5.30,5.60
12.50,22,P,231,0.008900,-0.0100,0.8788,0.00,0.02
13.00,22,C,1153,0.011900,0.9846,0.0000,4.80,5.10
13.00,22,P,3711,0.011900,-0.0128,0.7994,0.00,0.03
13.50,22,C,61,0.016500,0.9801,0.6699,4.30,4.60
13.50,22,P,1729,0.016500,-0.0173,0.7350,0.00,0.03
14.00,22,C,5479,0.023800,0.9726,0.5949,3.95,4.05
14.00,22,P,10465,0.023800,-0.0248,0.6701,0.00,0.01
14.50,22,C,132,0.037100,0.9560,0.5221,3.45,3.55
14.50,22,P,3102,0.037100,-0.0414,0.5621,0.02,0.05
15.00,22,C,5761,0.057700,0.9217,0.6571,3.00,3.10
15.00,22,P,63501,0.057700,-0.0757,0.5932,0.06,0.09
15.50,22,C,536,0.079900,0.8715,0.4583,2.60,2.66
15.50,22,P,41007,0.079900,-0.1259,0.5622,0.14,0.18
16.00,22,C,1707,0.099300,0.8119,0.6172,2.23,2.29
16.00,22,P,175699,0.099300,-0.1855,0.6167,0.27,0.31
16.50,22,C,704,0.113100,0.7435,0.5600,1.92,1.98
16.50,22,P,57278,0.113100,-0.2538,0.6897,0.46,0.50
17.00,22,C,4376,0.120200,0.6732,0.6327,1.66,1.72
17.00,22,P,118128,0.120200,-0.3242,0.6816,0.69,0.73
17.50,22,C,2771,0.121900,0.6061,0.6883,1.44,1.50
17.50,22,P,31992,0.121900,-0.3913,0.7229,0.97,1.02
18.00,22,C,9757,0.119800,0.5444,0.7394,1.26,1.32
18.00,22,P,101562,0.119800,-0.4530,0.7823,1.29,1.34
18.50,22,C,17964,0.115300,0.4888,0.7742,1.12,1.17
18.50,22,P,34936,0.115300,-0.5086,0.7720,1.64,1.69
19.00,22,C,35542,0.109400,0.4394,0.7729,1.00,1.05
19.00,22,P,109771,0.109400,-0.5580,0.8061,2.02,2.08
19.50,22,C,17494,0.102900,0.3958,0.8601,0.89,0.95
19.50,22,P,29929,0.102900,-0.6016,0.8564,2.41,2.47
20.00,22,C,126705,0.096100,0.3575,0.8627,0.81,0.86
20.00,22,P,107372,0.096100,-0.6398,0.8962,2.83,2.89
20.50,22,C,51991,0.089400,0.3241,0.9323,0.73,0.79
20.50,22,P,55523,0.089400,-0.6733,0.9425,3.25,3.35
21.00,22,C,73912,0.083000,0.2950,0.9668,0.67,0.72
21.00,22,P,60059,0.083000,-0.7024,0.9880,3.65,3.75
21.50,22,C,25472,0.077000,0.2695,0.9427,0.61,0.67
21.50,22,P,21030,0.077000,-0.7278,0.9936,4.10,4.20
22.00,22,C,114289,0.071500,0.2474,1.0365,0.57,0.62
22.00,22,P,55057,0.071500,-0.7500,1.0437,4.55,4.65
22.50,22,C,34618,0.066400,0.2280,1.0703,0.53,0.58
22.50,22,P,178,0.066400,-0.7693,1.0714,5.00,5.10
23.00,22,C,77246,0.061800,0.2111,1.0248,0.49,0.54
23.00,22,P,19884,0.061800,-0.7863,1.1688,5.50,5.60
23.50,22,C,37188,0.057500,0.1962,1.1283,0.46,0.51
23.50,22,P,140,0.057500,-0.8012,1.1316,5.95,6.05
24.00,22,C,105995,0.053700,0.1831,1.0845,0.45,0.47
24.00,22,P,16950,0.053700,-0.8143,1.2261,6.40,6.50
24.50,22,C,13115,0.050300,0.1714,1.1251,0.41,0.45
24.50,22,P,36,0.050300,-0.8260,1.2390,6.90,7.00
25.00,22,C,261029,0.047100,0.1610,1.2139,0.38,0.43
25.00,22,P,38070,0.047100,-0.8363,1.2899,7.35,7.45
26.00,22,C,30849,0.041700,0.1434,1.2684,0.34,0.39
26.00,22,P,1714,0.041700,-0.8540,1.3430,8.30,8.40
27.00,22,C,60191,0.037200,0.1290,1.2706,0.31,0.36
27.00,22,P,1414,0.037200,-0.8684,1.4098,9.30,9.40
28.00,22,C,105608,0.033500,0.1170,1.3597,0.28,0.33
28.00,22,P,1224,0.033500,-0.8804,1.3383,10.25,10.35
29.00,22,C,19483,0.030300,0.1069,1.3165,0.26,0.30
29.00,22,P,1821,0.030300,-0.8905,1.4982,11.20,11.35
30.00,22,C,151025,0.027600,0.0983,1.3975,0.24,0.27
30.00,22,P,697,0.027600,-0.8991,1.5456,12.20,12.30
31.00,22,C,45137,0.025300,0.0908,1.4336,0.22,0.26
31.00,22,P,550,0.025300,-0.9066,1.5877,13.20,13.30
32.00,22,C,27405,0.023300,0.0843,1.4147,0.20,0.24
32.00,22,P,124,0.023300,-0.9131,1.5257,14.15,14.25
